Date,^FCHI
2023-01-02,6594.56982421875
2023-01-03,6623.89013671875
2023-01-04,6776.43017578125
2023-01-05,6761.5
2023-01-06,6860.9501953125
2023-01-09,6907.35986328125
2023-01-10,6869.14013671875
2023-01-11,6924.18994140625
2023-01-12,6975.68017578125
2023-01-13,7023.5
2023-01-16,7043.31005859375
2023-01-17,7077.16015625
2023-01-18,7083.39013671875
2023-01-19,6951.8701171875
2023-01-20,6995.990234375
2023-01-23,7032.02001953125
2023-01-24,7050.47998046875
2023-01-25,7043.8798828125
2023-01-26,7095.990234375
2023-01-27,7097.2099609375
2023-01-30,7082.009765625
2023-01-31,7082.419921875
2023-02-01,7077.10986328125
2023-02-02,7166.27001953125
2023-02-03,7233.93994140625
2023-02-06,7137.10009765625
2023-02-07,7132.35009765625
2023-02-08,7119.830078125
2023-02-09,7188.35986328125
2023-02-10,7129.72998046875
2023-02-13,7208.58984375
2023-02-14,7213.81005859375
2023-02-15,7300.85986328125
2023-02-16,7366.16015625
2023-02-17,7347.72021484375
2023-02-20,7335.60986328125
2023-02-21,7308.64990234375
2023-02-22,7299.259765625
2023-02-23,7317.43017578125
2023-02-24,7187.27001953125
2023-02-27,7295.5498046875
2023-02-28,7267.93017578125
2023-03-01,7234.25
2023-03-02,7284.22021484375
2023-03-03,7348.1201171875
2023-03-06,7373.2099609375
2023-03-07,7339.27001953125
2023-03-08,7324.759765625
2023-03-09,7315.8798828125
2023-03-10,7220.669921875
2023-03-13,7011.5
2023-03-14,7141.56982421875
2023-03-15,6885.7099609375
2023-03-16,7025.72021484375
2023-03-17,6925.39990234375
2023-03-20,7013.14013671875
2023-03-21,7112.91015625
2023-03-22,7131.1201171875
2023-03-23,7139.25
2023-03-24,7015.10009765625
2023-03-27,7078.27001953125
2023-03-28,7088.33984375
2023-03-29,7186.990234375
2023-03-30,7263.3701171875
2023-03-31,7322.39013671875
2023-04-03,7345.9599609375
2023-04-04,7344.9599609375
2023-04-05,7316.2998046875
2023-04-06,7324.75
2023-04-11,7390.27978515625
2023-04-12,7396.93994140625
2023-04-13,7480.830078125
2023-04-14,7519.60986328125
2023-04-17,7498.18017578125
2023-04-18,7533.6298828125
2023-04-19,7549.43994140625
2023-04-20,7538.7099609375
2023-04-21,7577.0
2023-04-24,7573.85986328125
2023-04-25,7531.60986328125
2023-04-26,7466.66015625
2023-04-27,7483.83984375
2023-04-28,7491.5
2023-05-02,7383.2001953125
2023-05-03,7403.830078125
2023-05-04,7340.77001953125
2023-05-05,7432.93017578125
2023-05-08,7440.91015625
2023-05-09,7397.169921875
2023-05-10,7361.2001953125
2023-05-11,7381.77978515625
2023-05-12,7414.85009765625
2023-05-15,7418.2099609375
2023-05-16,7406.009765625
2023-05-17,7399.43994140625
2023-05-18,7446.89013671875
2023-05-19,7491.9599609375
2023-05-22,7478.16015625
2023-05-23,7378.7099609375
2023-05-24,7253.4599609375
2023-05-25,7229.27001953125
2023-05-26,7319.18017578125
2023-05-29,7303.81005859375
2023-05-30,7209.75
2023-05-31,7098.7001953125
2023-06-01,7137.43017578125
2023-06-02,7270.68994140625
2023-06-05,7200.91015625
2023-06-06,7209.0
2023-06-07,7202.7900390625
2023-06-08,7222.14990234375
2023-06-09,7213.14013671875
2023-06-12,7250.35009765625
2023-06-13,7290.7998046875
2023-06-14,7328.52978515625
2023-06-15,7290.91015625
2023-06-16,7388.64990234375
2023-06-19,7314.0498046875
2023-06-20,7294.169921875
2023-06-21,7260.97021484375
2023-06-22,7203.27978515625
2023-06-23,7163.419921875
2023-06-26,7184.35009765625
2023-06-27,7215.580078125
2023-06-28,7286.31982421875
2023-06-29,7312.72998046875
2023-06-30,7400.06005859375
2023-07-03,7386.7001953125
2023-07-04,7369.93017578125
2023-07-05,7310.81005859375
2023-07-06,7082.2900390625
2023-07-07,7111.8798828125
2023-07-10,7143.68994140625
2023-07-11,7220.009765625
2023-07-12,7333.009765625
2023-07-13,7369.7998046875
2023-07-14,7374.5400390625
2023-07-17,7291.66015625
2023-07-18,7319.18017578125
2023-07-19,7326.93994140625
2023-07-20,7384.91015625
2023-07-21,7432.77001953125
2023-07-24,7427.31005859375
2023-07-25,7415.4501953125
2023-07-26,7315.06982421875
2023-07-27,7465.240234375
2023-07-28,7476.47021484375
2023-07-31,7497.77978515625
2023-08-01,7406.080078125
2023-08-02,7312.83984375
2023-08-03,7260.52978515625
2023-08-04,7315.06982421875
2023-08-07,7319.759765625
2023-08-08,7269.47021484375
2023-08-09,7322.0400390625
2023-08-10,7433.6201171875
2023-08-11,7340.18994140625
2023-08-14,7348.83984375
2023-08-15,7267.7001953125
2023-08-16,7260.25
2023-08-17,7191.740234375
2023-08-18,7164.10986328125
2023-08-21,7198.06005859375
2023-08-22,7240.8798828125
2023-08-23,7246.6201171875
2023-08-24,7214.4599609375
2023-08-25,7229.60009765625
2023-08-28,7324.7099609375
2023-08-29,7373.43017578125
2023-08-30,7364.39990234375
2023-08-31,7316.7001953125
2023-09-01,7296.77001953125
2023-09-04,7279.509765625
2023-09-05,7254.72021484375
2023-09-06,7194.08984375
2023-09-07,7196.10009765625
2023-09-08,7240.77001953125
2023-09-11,7278.27001953125
2023-09-12,7252.8798828125
2023-09-13,7222.56982421875
2023-09-14,7308.669921875
2023-09-15,7378.81982421875
2023-09-18,7276.14013671875
2023-09-19,7282.1201171875
2023-09-20,7330.7900390625
2023-09-21,7213.89990234375
2023-09-22,7184.81982421875
2023-09-25,7123.8798828125
2023-09-26,7074.02001953125
2023-09-27,7071.7900390625
2023-09-28,7116.240234375
2023-09-29,7135.06005859375
2023-10-02,7068.16015625
2023-10-03,6997.0498046875
2023-10-04,6996.72998046875
2023-10-05,6998.25
2023-10-06,7060.14990234375
2023-10-09,7021.39990234375
2023-10-10,7162.43017578125
2023-10-11,7131.2099609375
2023-10-12,7104.52978515625
2023-10-13,7003.52978515625
2023-10-16,7022.18994140625
2023-10-17,7029.7001953125
2023-10-18,6965.990234375
2023-10-19,6921.3701171875
2023-10-20,6816.22021484375
2023-10-23,6850.47021484375
2023-10-24,6893.64990234375
2023-10-25,6915.06982421875
2023-10-26,6888.9599609375
2023-10-27,6795.3798828125
2023-10-30,6825.06982421875
2023-10-31,6885.64990234375
2023-11-01,6932.6298828125
2023-11-02,7060.68994140625
2023-11-03,7047.5
2023-11-06,7013.72998046875
2023-11-07,6986.22998046875
2023-11-08,7034.16015625
2023-11-09,7113.66015625
2023-11-10,7045.0400390625
2023-11-13,7087.06005859375
2023-11-14,7185.68017578125
2023-11-15,7209.60986328125
2023-11-16,7168.39990234375
2023-11-17,7233.91015625
2023-11-20,7246.93017578125
2023-11-21,7229.4501953125
2023-11-22,7260.72998046875
2023-11-23,7277.93017578125
2023-11-24,7292.7998046875
2023-11-27,7265.490234375
2023-11-28,7250.1298828125
2023-11-29,7267.64013671875
2023-11-30,7310.77001953125
2023-12-01,7346.14990234375
2023-12-04,7332.58984375
2023-12-05,7386.990234375
2023-12-06,7435.990234375
2023-12-07,7428.52001953125
2023-12-08,7526.5498046875
2023-12-11,7551.52978515625
2023-12-12,7543.5498046875
2023-12-13,7531.22021484375
2023-12-14,7575.85009765625
2023-12-15,7596.91015625
2023-12-18,7568.85986328125
2023-12-19,7574.669921875
2023-12-20,7583.43017578125
2023-12-21,7571.39990234375
2023-12-22,7568.81982421875
2023-12-27,7571.81982421875
2023-12-28,7535.16015625
2023-12-29,7543.18017578125
2024-01-02,7530.85986328125
2024-01-03,7411.85986328125
2024-01-04,7450.6298828125
2024-01-05,7420.68994140625
2024-01-08,7450.240234375
2024-01-09,7426.6201171875
2024-01-10,7426.080078125
2024-01-11,7387.6201171875
2024-01-12,7465.14013671875
2024-01-15,7411.68017578125
2024-01-16,7398.0
2024-01-17,7318.68994140625
2024-01-18,7401.35009765625
2024-01-19,7371.64013671875
2024-01-22,7413.25
2024-01-23,7388.0400390625
2024-01-24,7455.64013671875
2024-01-25,7464.2001953125
2024-01-26,7634.14013671875
2024-01-29,7640.81005859375
2024-01-30,7677.47021484375
2024-01-31,7656.75
2024-02-01,7588.75
2024-02-02,7592.259765625
2024-02-05,7589.9599609375
2024-02-06,7638.97021484375
2024-02-07,7611.259765625
2024-02-08,7665.6298828125
2024-02-09,7647.52001953125
2024-02-12,7689.7998046875
2024-02-13,7625.31005859375
2024-02-14,7677.35009765625
2024-02-15,7743.419921875
2024-02-16,7768.18017578125
2024-02-19,7768.5498046875
2024-02-20,7795.22021484375
2024-02-21,7812.08984375
2024-02-22,7911.60009765625
2024-02-23,7966.68017578125
2024-02-26,7929.81982421875
2024-02-27,7948.39990234375
2024-02-28,7954.39013671875
2024-02-29,7927.43017578125
2024-03-01,7934.169921875
2024-03-04,7956.41015625
2024-03-05,7932.81982421875
2024-03-06,7954.740234375
2024-03-07,8016.22021484375
2024-03-08,8028.009765625
2024-03-11,8019.72998046875
2024-03-12,8087.47998046875
2024-03-13,8137.580078125
2024-03-14,8161.419921875
2024-03-15,8164.35009765625
2024-03-18,8148.14013671875
2024-03-19,8201.0498046875
2024-03-20,8161.41015625
2024-03-21,8179.72021484375
2024-03-22,8151.919921875
2024-03-25,8151.60009765625
2024-03-26,8184.75
2024-03-27,8204.8095703125
2024-03-28,8205.8095703125
2024-04-02,8130.0498046875
2024-04-03,8153.22998046875
2024-04-04,8151.5498046875
2024-04-05,8061.31005859375
2024-04-08,8119.2998046875
2024-04-09,8049.169921875
2024-04-10,8045.3798828125
2024-04-11,8023.740234375
2024-04-12,8010.830078125
2024-04-15,8045.10986328125
2024-04-16,7932.60986328125
2024-04-17,7981.509765625
2024-04-18,8023.259765625
2024-04-19,8022.41015625
2024-04-22,8040.35986328125
2024-04-23,8105.77978515625
2024-04-24,8091.85986328125
2024-04-25,8016.64990234375
2024-04-26,8088.240234375
2024-04-29,8065.14990234375
2024-04-30,7984.93017578125
2024-05-02,7914.64990234375
2024-05-03,7957.56982421875
2024-05-06,7996.64013671875
2024-05-07,8075.68017578125
2024-05-08,8131.41015625
2024-05-09,8187.64990234375
2024-05-10,8219.1396484375
2024-05-13,8209.2802734375
2024-05-14,8225.7998046875
2024-05-15,8239.990234375
2024-05-16,8188.490234375
2024-05-17,8167.5
2024-05-20,8195.9697265625
2024-05-21,8141.4599609375
2024-05-22,8092.10986328125
2024-05-23,8102.330078125
2024-05-24,8094.97021484375
2024-05-27,8132.490234375
2024-05-28,8057.7998046875
2024-05-29,7935.02978515625
2024-05-30,7978.509765625
2024-05-31,7992.8701171875
2024-06-03,7998.02001953125
2024-06-04,7937.89990234375
2024-06-05,8006.56982421875
2024-06-06,8040.1201171875
2024-06-07,8001.7998046875
2024-06-10,7893.97998046875
2024-06-11,7789.2099609375
2024-06-12,7864.7001953125
2024-06-13,7708.02001953125
2024-06-14,7503.27001953125
2024-06-17,7571.56982421875
2024-06-18,7628.7998046875
2024-06-19,7570.2001953125
2024-06-20,7671.33984375
2024-06-21,7628.56982421875
2024-06-24,7706.89013671875
2024-06-25,7662.2998046875
2024-06-26,7609.14990234375
2024-06-27,7530.72021484375
2024-06-28,7479.39990234375
2024-07-01,7561.1298828125
2024-07-02,7538.2900390625
2024-07-03,7632.080078125
2024-07-04,7695.77978515625
2024-07-05,7675.6201171875
2024-07-08,7627.4501953125
2024-07-09,7508.66015625
2024-07-10,7573.5498046875
2024-07-11,7627.1298828125
2024-07-12,7724.31982421875
2024-07-15,7632.7099609375
